SEN,SPE,ACC,PRE,F1,MCC,AUROC,AUPRC,Dataset,Fold,N_outer_train,N_primary_train,N_meta_validation,N_outer_test,Best epoch,Best meta loss
75.127374,67.062107,68.340307,30.048166,42.927087,0.315003,0.784227,0.436714,PPI-352,1,281,224,57,71,5,0.231092
71.738128,73.060041,72.858748,32.355999,44.597306,0.340357,0.801181,0.424357,PPI-352,2,281,224,57,71,3,0.219044
63.034669,78.719291,76.339164,34.636319,44.707009,0.335056,0.788055,0.441227,PPI-352,3,282,225,57,70,6,0.214983
61.241379,81.531735,78.673661,35.219461,44.720497,0.346002,0.793115,0.438015,PPI-352,4,282,225,57,70,7,0.243489
56.681837,80.037096,76.711441,32.039289,40.938294,0.295582,0.758608,0.384687,PPI-352,5,282,225,57,70,4,0.212109
