SEN,SPE,ACC,PRE,F1,MCC,AUROC,AUPRC,Dataset,Fold,N_outer_train,N_primary_train,N_meta_validation,N_outer_test,Best epoch,Best meta loss
81.040892,94.719256,94.230386,36.257796,50.100546,0.518758,0.960758,0.606351,ATP-387,1,309,247,62,78,6,0.097069
75.735950,93.685728,92.953338,33.784322,46.725371,0.476415,0.936641,0.547935,ATP-387,2,309,247,62,78,4,0.129795
75.173010,93.659081,92.844897,35.325203,48.064159,0.484609,0.941177,0.587397,ATP-387,3,310,248,62,77,7,0.086927
76.343154,94.442432,93.639195,38.947834,51.580796,0.517257,0.935351,0.587011,ATP-387,4,310,248,62,77,5,0.086503
70.716228,94.534038,93.696394,32.046015,44.105174,0.449239,0.927254,0.516057,ATP-387,5,310,248,62,77,4,0.108331
